# length std::vector thrust::vector openmp1 openmp2 openmp4
2250 205.776382208 271.233271122 266.026062012 145.920875072 107.988082886
4500 349.048269033 288.564155817 371.218142986 354.782804012 216.382336855
9000 713.763610125 340.667955875 814.111281872 690.049077988 441.245654821
18000 1460.93381596 514.899300098 1608.40779901 1286.11239696 915.583659172
36000 4526.38464403 875.952046871 3272.95322895 1286.11239696 915.583659172
